"FWB_id","site_year_code","collection_site_id","waterbody_type","collection_decimal_latitude","collection_decimal_longitude","site_interspe_var_N","site_intraspe_var_N","site_interspe_var_C","site_intraspe_var_C","site_nbspe","site_mean_sample_id","site_min_sample_id","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","distance_to_env_m","match_flag","propintraspecific_N","propintraspecific_C","propintraspecific_Total"
"FWB_0028","FWB_0028_2021","Dawadere","lotic",-18.276582,125.533975,0.0723550198414634,0.0161636054062918,0.0292212898958791,0.0299999636626263,10,2.8,1,17,"lotic",-18.276582,125.533975,5.14929518015501,4.86815588247699,4.49145575198563,81.55365369,24.0894428781067,274,50,506,-6.90775527898214,0,0,9.0479121454236,0,-4.70942020736189,"large",2.49858448371569,-0.476984581938931,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.182601179820082,0.506574276294049,0.312465188423871
"FWB_0029","FWB_0029_2008","Deep Lagoon","lentic",-16.635,143.375,0.0469786635228561,0.0465075108422745,0.0623684357664661,0.0184753726295826,9,2.33333333333333,1,18,"lentic",-16.635,143.375,-2.12026353620009,0.0612530311370771,1.63984249243876,11.5280946,42.7564814718423,254,23,1023,-6.90775527898214,0,0,-0.146170936170987,0,-4.96041757793564,"small",-0.946562784624735,0.743488059697533,"low_prod","Extremely hot and moist","Hot and moist",0,"ok",0.497480094335975,0.228531695823543,0.372757929775508
"FWB_0030","FWB_0030_2008","Dickson Hole","lotic",-17.4966667,143.9566667,0.0624543643929985,0.0925183955832609,0.0447963695674329,0.0575422321368625,6,3,1,18,"lotic",-17.4966667,143.9566667,1.48930211119412,5.71623512658382,3.33952542781412,94.77505798,30.704427911665,252,3,907,-6.90775527898214,0,0,4.25973201523623,0,-4.96041757793564,"large",-0.000969629851780809,0.646040172912471,"low_prod","Extremely hot and moist","Hot and moist",0,"ok",0.596997792369665,0.562272995512771,0.583186948061857
"FWB_0031","FWB_0031_2019","Digarrwan","lotic",-18.180426,125.597683,0.0454263447515271,0.039501091917013,0.0489889356856839,0.0220145975473567,4,7.75,2,17,"lotic",-18.180426,125.597683,3.6947372635981,6.29505787280225,4.49145575198563,81.55365369,25.1558735466498,274,78,526,-4.3428059215206,0,0,8.9985361628772,0,0.703597386454764,"large",1.50520931735665,1.41251603845375,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.465115791392365,0.310049324941375,0.394505911835197
"FWB_0032","FWB_0032_1995","Dirran Creek, forest edge","lotic",-17.4666667,145.5333333,0.08055761228425,0.040256604762892,0.0719728350540584,0.0629352962516892,3,5,4,14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry",0,"ok",0.33321082358365,0.466504840312823,0.403531023703018
"FWB_0033","FWB_0033_1995","Dirran Creek, pasture crossing","lotic",-17.4666667,145.5333333,0.0910272200297192,0.0968192532519801,0.0465541405715273,0.103313091878617,3,4.66666666666667,3,14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry",0,"ok",0.515416933629558,0.689364113753056,0.592609484702137
"FWB_0034","FWB_0034_2021","Doorban","lotic",-18.059846,123.872198,0.047326576641692,0.011750364327149,0.0599852036854117,0.0234061040299048,12,3.25,1,17,"lotic",-18.059846,123.872198,3.94883697855086,6.41026585279125,3.38153014014091,65.6349952,38.5532317538965,276,18,508,-6.90775527898214,0,0,9.77193637000082,0,-4.70942020736189,"large",1.67874406887104,1.56507420372324,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.198899335924426,0.28067798276781,0.246767042353369
"FWB_0035","FWB_0035_2017","Doorrban","lotic",-18.059846,123.872198,0.020466950980003,0.0162834469876815,0.0356020966821307,0.0116013263130846,13,9.15384615384615,1,17,"lotic",-18.059846,123.872198,3.94883697855086,6.41026585279125,3.38153014014091,65.6349952,38.5532317538965,276,18,508,-6.90775527898214,0,0,9.77193637000082,0,-4.70942020736189,"large",1.67874406887104,1.56507420372324,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.443082194701671,0.245772987994124,0.332144183325363
"FWB_0036","FWB_0036_2008","Emu Creek @ Petford","lotic",-17.335,144.9483333,0.0342244140738568,0.0166434708348429,0.0566886242778625,0.0348911300865516,10,2.8,2,13,"lotic",-17.335,144.9483333,1.35377116941433,6.11316527147175,4.97154306239555,139.0888254,51.0560924185352,226,62,1042,-5.29831736654804,1,0,4.6035089068277,0,-1.20061179219376,"large",-0.093529073724587,1.17165423758088,"low_prod","Hot and mesic","Hot and moist",0,"ok",0.327190148847656,0.380991741337423,0.361779255762797
"FWB_0037","FWB_0037_2009","Evergreen Lagoon","lentic",-15.6189,141.7354,0.0720728718867512,0.0183354720945872,0.167115359125489,0.0343917153491863,5,2.4,1,17,"lentic",-15.6189,141.7354,-1.10866262452161,-0.528990970516148,3.72250728869084,142.1078661,34.7168450524348,269,38,1190,-6.90775527898214,0,0,-0.816422772725978,0,-5.51896403766366,"small",-0.536220492184495,0.524191353826265,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.202807299494081,0.170672495935166,0.180624880051406
