"","fish_species","sp_site_var_C_mean","sp_site_var_N_mean","sp_site_var_C_sd","sp_site_var_N_sd"
"133","Cheirodon australe",0.0442579714105657,0.0192483618936032,0.0438219395398046,0.0180117716838933
"134","Chetia flaviventris",0.0151130711437567,0.0242469939544746,NA,NA
"135","Chiloglanis pretoriae",0.0342568500874137,0.0205821320401635,0.0357721544696651,0.0311493385693494
"136","Chondrostoma nasus",0.0604374789260243,0.0378507368776192,0.0598531741320824,0.0337065767201656
"137","Chromidotilapia mamonekenei",0.0187802665675359,0.00760712777167926,0.019602540473477,0.00794822822155923
"138","Chrosomus eos",0.0104699491681689,0.0098500172918408,0.00852682406254148,0.00728869961875419
"139","Chrysichthys auratus",0.025975041753712,0.0105583543286539,NA,NA
"140","Chrysichthys longibarbis",0.00340433125708884,0.0258407382061956,0.00422982109972353,0.0291816945571894
"141","Chrysichthys longipinnis",0.00204146209515255,0.00879841732611411,NA,NA
"142","Chrysichthys nigrodigitatus",0.0387927867435298,0.0342258418882123,NA,NA
"143","Chrysichthys punctatus",0.00364880424530813,0.0235723424750213,0.000836678563021484,0.00215815520276048
"144","Chrysichthys sharpii",0,0.00475907198096372,NA,NA
"145","Chuco intermedium",0.120712809917355,0.034320987654321,NA,NA
"146","Cichlasoma bimaculatum",0.0499211842594378,0.0767644423869106,NA,NA
"147","Cichlasoma sanctifranciscense",0.00738076939325868,0.0167251121406244,0.00673800068988301,0.0178983415581673
"148","Cincelichthys pearsei",0.0969314368123099,0.00295647909365427,0.0100799998714,0.00103839602584483
"149","Citharinus gibbosus",0.0013109410430839,0.00659329764029348,NA,NA
"150","Clarias angolensis",0.000463809940993071,0.0491200712853642,NA,NA
"151","Clarias gabonensis",0.00257315042160318,0.0153845721191279,0.00129774785800324,0.00892387312386977
"152","Clarias gariepinus",0.0303860448134423,0.0277186542784478,0.0299727501446552,0.0407025885303304
"153","Clarias ngamensis",0.00964494001069151,0.00398619312397881,0.00522840968953254,0.00102338051152849
"154","Clarias pachynema",0.00419285587347446,0.00365315672008003,0.00476921429467386,0.00326282378678235
"155","Clypeobarbus congicus",0.0098249716553288,0.0148274836406901,NA,NA
"156","Clypeobarbus pleuropholis",0.00176145113729518,0.0038335299762319,0.000527864988036324,0.00151923731000612
"157","Cobitis paludica",0.0211076875172028,0.0335324731670316,0.01835585148019,0.093777016882488
"158","Cobitis sinensis",0.00350791537197576,0.0156788637150668,NA,NA
"159","Colossoma macropomum",0.00988929274063262,0.0138121686757873,0.0120884309756208,0.00775180063408454
"160","Copella carsevennensis",0.00383429424008547,0.00300052466098093,NA,NA
"161","Copella nigrofasciata",0.037192378328742,0.0271430223147185,0.0110416444573711,0.0118971186031063
"162","Coptodon rendalli",0.0371966090037519,0.0220697792238907,0.0471915364013846,0.0156063080323154
"163","Coptodon zillii",0.0232498588427632,0.0141129407989963,NA,NA
"164","Coptostomabarbus wittei",0.0140883370035094,0.00450853780703197,NA,NA
"165","Coregonus albula",0.0195700158216335,0.0214387018913996,0.0160655682630434,0.0146935133500524
"166","Coregonus artedi",0.0235250078395642,0.00620164559849204,0.0299762319942056,0.00545601245080406
"167","Coregonus clupeaformis",0.0323714116976794,0.0168901327383985,0.0296434260194556,0.0197605265670841
"168","Coregonus fontanae",0.0241654446704305,0.0156122812764578,NA,NA
"169","Coregonus hoyi",0.00953687695646523,0.0308616355068003,NA,NA
"170","Coregonus lavaretus",0.00665054104000408,0.0183179715587117,0.00390263807046539,0.0117530384312469
"171","Coregonus nasus",0.0996243260082773,0.00597643334489793,NA,NA
"172","Corydoras geoffroy",0.00497626651582174,0.00480179440751345,NA,NA
"173","Corydoras guianensis",0.00139917987734361,0.00251618036802897,NA,NA
"174","Cottus bairdii",0.0021425602827421,0.00411186372203284,NA,NA
"175","Cottus cognatus",0.0311506371898256,0.0428574220044579,0.0327559495730892,0.0305032881882745
"176","Cottus gobio",0.0329719835008243,0.0220563815484132,0.0311570563298421,0.0268806661499223
"177","Cotylopus acutipinnis",0.00767390917905711,0.0250541441081221,0.00576986757210579,0.0358099692934128
"178","Couesius plumbeus",0.0109800351811759,0.00797104457542627,0.00620558071635506,0.00689085991665849
"179","Craterocephalus fulvus",0.0371271405283407,0.026465284535546,0.0307401913550958,0.0280564363832081
"180","Craterocephalus marianae",0.0322004094755313,0.000303711289031156,NA,NA
"181","Craterocephalus marjoriae",0.0721180651569928,0.024384725024642,0.0708430260347809,0.025202259482218
"182","Craterocephalus stercusmuscarum",0.0442123137760134,0.0191009544917704,0.0444376769310018,0.014520128905144
"183","Crenicichla albopunctata",0.0133385563838516,0.0275818218883677,0.00226319459435203,0.000692678173397447
"184","Crenicichla frenata",0.00267981394445093,0.00930740436332605,0.000753098564053388,0.0029416815468894
"185","Ctenogobius cervicosquamus",0.0530022696490873,0.0164069744945989,0.0666604677245952,0.01807018167884
"186","Ctenopharyngodon idella",0.0073327647146194,0.000823731079263863,0.010017618083657,0.000353041590309909
