"","FWB_id","Climate_zone_2cat"
"361","FWB_0842","Warm/Hot"
"362","FWB_0843","Warm/Hot"
"363","FWB_0845","Warm/Hot"
"364","FWB_0846","Warm/Hot"
"365","FWB_0848","Warm/Hot"
"366","FWB_0851","Warm/Hot"
"367","FWB_0856","Warm/Hot"
"368","FWB_0859","Warm/Hot"
"369","FWB_0863","Warm/Hot"
"370","FWB_0868","Warm/Hot"
"371","FWB_0869","Warm/Hot"
"372","FWB_0882","Warm/Hot"
"373","FWB_0885","Warm/Hot"
"374","FWB_0889","Warm/Hot"
"375","FWB_0890","Warm/Hot"
"376","FWB_0891","Warm/Hot"
"377","FWB_0892","Cold/Cool"
"378","FWB_0893","Cold/Cool"
"379","FWB_0894","Cold/Cool"
"380","FWB_0895","Cold/Cool"
"381","FWB_0898","Warm/Hot"
"382","FWB_0899","Warm/Hot"
"383","FWB_0900","Warm/Hot"
"384","FWB_0901","Warm/Hot"
"385","FWB_0902","Warm/Hot"
"386","FWB_0903","Warm/Hot"
"387","FWB_0904","Warm/Hot"
"388","FWB_0905","Warm/Hot"
"389","FWB_0907","Warm/Hot"
"390","FWB_0910","Warm/Hot"
"391","FWB_0913","Warm/Hot"
"392","FWB_0915","Warm/Hot"
"393","FWB_0916","Warm/Hot"
"394","FWB_0918","Warm/Hot"
"395","FWB_0919","Warm/Hot"
"396","FWB_0920","Cold/Cool"
"397","FWB_0921","Cold/Cool"
"398","FWB_0922","Warm/Hot"
"399","FWB_0924","Warm/Hot"
"400","FWB_0926","Cold/Cool"
"401","FWB_0927","Cold/Cool"
"402","FWB_0928","Warm/Hot"
"403","FWB_0929","Warm/Hot"
"404","FWB_0930","Warm/Hot"
"405","FWB_0932","Warm/Hot"
"406","FWB_0933","Cold/Cool"
"407","FWB_0934","Cold/Cool"
"408","FWB_0937","Warm/Hot"
"409","FWB_0938","Warm/Hot"
"410","FWB_0939","Warm/Hot"
"411","FWB_0940","Warm/Hot"
"412","FWB_0941","Warm/Hot"
"413","FWB_0942","Warm/Hot"
"414","FWB_0943","Cold/Cool"
"415","FWB_0945","Cold/Cool"
"416","FWB_0946","Cold/Cool"
"417","FWB_0947","Cold/Cool"
"418","FWB_0950","Cold/Cool"
"419","FWB_0951","Cold/Cool"
"420","FWB_0954","Warm/Hot"
"421","FWB_0955","Warm/Hot"
"422","FWB_0956","Warm/Hot"
"423","FWB_0957","Cold/Cool"
"424","FWB_0959","Cold/Cool"
"425","FWB_0960","Cold/Cool"
"426","FWB_0962","Cold/Cool"
"427","FWB_0963","Cold/Cool"
"428","FWB_0964","Cold/Cool"
"429","FWB_0965","Cold/Cool"
"430","FWB_0966","Cold/Cool"
"431","FWB_0967","Cold/Cool"
"432","FWB_0968","Cold/Cool"
"433","FWB_0969","Cold/Cool"
"434","FWB_0970","Cold/Cool"
"435","FWB_0972","Cold/Cool"
"436","FWB_0973","Cold/Cool"
"437","FWB_0974","Cold/Cool"
"438","FWB_0975","Cold/Cool"
"439","FWB_0976","Cold/Cool"
"440","FWB_0977","Cold/Cool"
"441","FWB_0979","Cold/Cool"
"442","FWB_0983","Warm/Hot"
"443","FWB_0984","Cold/Cool"
"444","FWB_0985","Cold/Cool"
"445","FWB_0988","Cold/Cool"
"446","FWB_0989","Cold/Cool"
"447","FWB_0990","Cold/Cool"
"448","FWB_0991","Cold/Cool"
"449","FWB_0992","Cold/Cool"
"450","FWB_0993","Cold/Cool"
"451","FWB_0996","Cold/Cool"
"452","FWB_0997","Cold/Cool"
"453","FWB_1003","Warm/Hot"
"454","FWB_1008","Warm/Hot"
"455","FWB_1012","Warm/Hot"
