"FWB_id","site_year_code","sp_site","collection_site_id","fish_family","fish_scientific_name","fish_name_level","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","sp_site_body_size_range","VarTot"
"FWB_0008","FWB_0008_2011","Neosilurus hyrtlii_Booligar","Booligar","Plotosidae","Neosilurus hyrtlii","species","lentic",148.079656,-28.924847,0.841489577008703,0.00351409780522492,0.531309504379522,0.00487076331925587,122.666666666667,201.333333333333,3,28,0.00838486112448079
"FWB_0010","FWB_0010_2014","Ambassis agassizii_brisbane_02","brisbane_02","Ambassidae","Ambassis agassizii","species","lotic",152.270016,-26.787199,0.455825617283951,0.00178798308661026,0.88887381275441,0.00953960921923012,NA,NA,2,NA,0.0113275923058404
"FWB_0010","FWB_0010_2014","Craterocephalus fulvus_brisbane_02","brisbane_02","Atherinidae","Craterocephalus fulvus","species","lotic",152.270016,-26.787199,0.452546296296296,0.00337592044848345,0.468928086838535,0.00167110052304162,NA,NA,3,NA,0.00504702097152507
"FWB_0010","FWB_0010_2014","Craterocephalus marjoriae_brisbane_02","brisbane_02","Atherinidae","Craterocephalus marjoriae","species","lotic",152.270016,-26.787199,0.369212962962963,0.149166386840802,0.413975576662144,0.146850372535988,NA,NA,3,NA,0.29601675937679
"FWB_0010","FWB_0010_2014","Gambusia holbrooki_brisbane_02","brisbane_02","Poeciliidae","Gambusia holbrooki","species","lotic",152.270016,-26.787199,0.385673868312757,0.00350531510376974,0.774943464495703,0.0447711547112102,NA,NA,3,NA,0.0482764698149799
"FWB_0010","FWB_0010_2014","Melanotaenia duboulayi_brisbane_02","brisbane_02","Melanotaeniidae","Melanotaenia duboulayi","species","lotic",152.270016,-26.787199,0.498456790123457,0.152086994884545,0.2082315694256,0.0146236131541626,NA,NA,3,NA,0.166710608038708
"FWB_0010","FWB_0010_2014","Mogurnda adspersa_brisbane_02","brisbane_02","Eleotridae","Mogurnda adspersa","species","lotic",152.270016,-26.787199,0.223765432098765,0.00027967702141442,0.556897331524197,0.0191080369706911,NA,NA,3,NA,0.0193877139921056
"FWB_0010","FWB_0010_2014","Retropinna semoni_brisbane_02","brisbane_02","Retropinnidae","Retropinna semoni","species","lotic",152.270016,-26.787199,0.867798353909465,0.00698319338070925,0.453414744459521,0.0372951757801592,NA,NA,3,NA,0.0442783691608685
"FWB_0010","FWB_0010_2014","Tandanus tandanus_brisbane_02","brisbane_02","Plotosidae","Tandanus tandanus","species","lotic",152.270016,-26.787199,1,NA,0.346675712347355,NA,NA,NA,1,NA,NA
"FWB_0017","FWB_0017_2008","Leiopotherapon unicolor_Bulimba Lynd Crossing","Bulimba Lynd Crossing","Terapontidae","Leiopotherapon unicolor","species","lotic",143.4108,-16.7125,0.637920489296636,0.111901635664787,0.744540831588394,0.137532236382871,93,1092,3,66,0.249433872047658
"FWB_0017","FWB_0017_2008","Melanotaenia_Bulimba Lynd Crossing","Bulimba Lynd Crossing","Melanotaeniidae","Melanotaenia sp.","genus","lotic",143.4108,-16.7125,0.347400611620795,0.105516019975872,0.262538637949945,0.132535867342768,45.6666666666667,492.333333333333,3,43,0.238051887318639
"FWB_0018","FWB_0018_2021","Amniataba percoides_Bullhole","Bullhole","Terapontidae","Amniataba percoides","species","lotic",124.51391,-18.264193,0.626461401160196,0.106577791158685,0.201918540651046,0.00541574596220712,69.8,143.7,5,30,0.111993537120892
"FWB_0018","FWB_0018_2021","Glossamia aprion_Bullhole","Bullhole","Apogonidae","Glossamia aprion","species","lotic",124.51391,-18.264193,0.125055778670237,0.0106133543047195,0.20046390941972,0.0140378068476646,16,18,2,6,0.0246511611523842
"FWB_0018","FWB_0018_2021","Hannia greenwayi_Bullhole","Bullhole","Terapontidae","Hannia greenwayi","species","lotic",124.51391,-18.264193,0.585676037483266,NA,0.647821984588772,NA,77,NA,1,0,NA
"FWB_0018","FWB_0018_2021","Hephaestus jenkinsi_Bullhole","Bullhole","Terapontidae","Hephaestus jenkinsi","species","lotic",124.51391,-18.264193,0.667930983192027,0.0791958486266284,0.198105047963516,0.0284767852149626,138.333333333333,4648.26666666667,6,146,0.107672633841591
"FWB_0018","FWB_0018_2021","Leiopotherapon unicolor_Bullhole","Bullhole","Terapontidae","Leiopotherapon unicolor","species","lotic",124.51391,-18.264193,0.374237691506768,0.0055280536760226,0.714551554227604,0.0240318629751224,77.3333333333333,37.3333333333333,3,12,0.029559916651145
"FWB_0018","FWB_0018_2021","Melanotaenia australis_Bullhole","Bullhole","Melanotaeniidae","Melanotaenia australis","species","lotic",124.51391,-18.264193,0.302915365164361,0.000802074545060773,0.388583110551974,0.00186242727276616,38.3333333333333,9.33333333333333,3,6,0.00266450181782694
"FWB_0018","FWB_0018_2021","Nematalosa erebi_Bullhole","Bullhole","Dorosomatidae","Nematalosa erebi","species","lotic",124.51391,-18.264193,0.140041648073777,0.0184596949617765,0.36889972217854,0.00760789595353147,131,1443,3,72,0.026067590915308
"FWB_0018","FWB_0018_2021","Neoarius graeffei_Bullhole","Bullhole","Ariidae","Neoarius graeffei","species","lotic",124.51391,-18.264193,0.574619465516386,0.00405780630468613,0.837352134332792,0.0195815595778627,295.333333333333,7891.25,9,301,0.0236393658825488
"FWB_0018","FWB_0018_2021","Neosilurus hyrtlii_Bullhole","Bullhole","Plotosidae","Neosilurus hyrtlii","species","lotic",124.51391,-18.264193,0.406366205562993,0.0100690497292524,0.610971326728521,0.00741507074527666,130,81,3,18,0.017484120474529
"FWB_0019","FWB_0019_2018","Hephaestus jenkinsi_Bullock Crossing","Bullock Crossing","Terapontidae","Hephaestus jenkinsi","species","lotic",125.385156,-18.440485,0.31825331691971,0.0385729815506137,0.19291522572203,0.0163750896195543,138.5,662.7,6,47,0.054948071170168
"FWB_0019","FWB_0019_2018","Neoarius graeffei_Bullock Crossing","Bullock Crossing","Ariidae","Neoarius graeffei","species","lotic",125.385156,-18.440485,0.632494414808736,0.0521380629986924,0.550118910386225,0.0655165205322324,263,3344.11764705882,18,150,0.117654583530925
"FWB_0020","FWB_0020_2008","Hephaestus carbo_Bushy Creek","Bushy Creek","Terapontidae","Hephaestus carbo","species","lotic",145.3166667,-16.5666667,0.85968514715948,0.0292506427020915,0.122172302356743,0.0112140367025046,109,2503,3,100,0.0404646794045961
"FWB_0020","FWB_0020_2008","Leiopotherapon unicolor_Bushy Creek","Bushy Creek","Terapontidae","Leiopotherapon unicolor","species","lotic",145.3166667,-16.5666667,0.193094531903567,0.0435012542583281,0.616576022700402,0.0473476998495197,69.3333333333333,83.8666666666667,6,27,0.0908489541078478
"FWB_0020","FWB_0020_2008","Melanotaenia_Bushy Creek","Bushy Creek","Melanotaeniidae","Melanotaenia sp.","genus","lotic",145.3166667,-16.5666667,0.678530686744239,0.00243202104828202,0.162318383647303,0.0019885507474636,68.5,283.9,6,44,0.00442057179574562
"FWB_0020","FWB_0020_2008","Mogurnda_Bushy Creek","Bushy Creek","Eleotridae","Mogurnda sp.","genus","lotic",145.3166667,-16.5666667,0.68932998707126,0.06454012832821,0.253461548566774,0.00422968106643543,105.333333333333,1164.33333333333,3,68,0.0687698093946454
"FWB_0032","FWB_0032_1995","Melanotaenia eachamensis_Dirran Creek, forest edge","Dirran Creek, forest edge","Melanotaeniidae","Melanotaenia eachamensis","species","lotic",145.5333333,-17.4666667,0.589260808926081,0.0593735940085237,0.858839050131926,0.0167995210281187,43.3333333333333,16.6666666666667,6,10,0.0761731150366424
"FWB_0032","FWB_0032_1995","Melanotaenia_Dirran Creek, forest edge","Dirran Creek, forest edge","Melanotaeniidae","Melanotaenia sp.","genus","lotic",145.5333333,-17.4666667,0.166413084823127,0.0166687380512578,0.762532981530343,0.00660442816930172,22938.05,699180331.076667,4,45830.8,0.0232731662205595
"FWB_0032","FWB_0032_1995","Mogurnda adspersa_Dirran Creek, forest edge","Dirran Creek, forest edge","Eleotridae","Mogurnda adspersa","species","lotic",145.5333333,-17.4666667,0.705819703309243,0.0447274822288947,0.353562005277045,0.165401939557647,40,0,5,0,0.210129421786542
"FWB_0033","FWB_0033_1995","Melanotaenia eachamensis_Dirran Creek, pasture crossing","Dirran Creek, pasture crossing","Melanotaeniidae","Melanotaenia eachamensis","species","lotic",145.5333333,-17.4666667,0.778863499699339,0.0263351385762361,0.748318385650225,0.0218796591813343,41.25,26.7857142857143,8,10,0.0482147977575704
"FWB_0033","FWB_0033_1995","Melanotaenia_Dirran Creek, pasture crossing","Dirran Creek, pasture crossing","Melanotaeniidae","Melanotaenia sp.","genus","lotic",145.5333333,-17.4666667,0.193425536179595,0.0354026000918196,0.715994020926756,0.10682566175337,15272.4666666667,696431465.813333,3,45708.8,0.142228261845189
"FWB_0033","FWB_0033_1995","Mogurnda adspersa_Dirran Creek, pasture crossing","Dirran Creek, pasture crossing","Eleotridae","Mogurnda adspersa","species","lotic",145.5333333,-17.4666667,0.612748045700542,0.228720021087884,0.35949177877429,0.181233954701147,38.3333333333333,8.33333333333333,3,5,0.409953975789032
"FWB_0036","FWB_0036_2008","Amniataba percoides_Emu Creek @ Petford","Emu Creek @ Petford","Terapontidae","Amniataba percoides","species","lotic",144.9483333,-17.335,0.562989608313349,0.0137137100870862,0.465904728153333,0.0328834358955185,NA,NA,3,NA,0.0465971459826048
"FWB_0036","FWB_0036_2008","Hephaestus fuliginosus_Emu Creek @ Petford","Emu Creek @ Petford","Terapontidae","Hephaestus fuliginosus","species","lotic",144.9483333,-17.335,0.572501998401279,0.0149450128146883,0.487079531023892,0.0457339277333197,NA,NA,3,NA,0.060678940548008
"FWB_0036","FWB_0036_2008","Leiopotherapon unicolor_Emu Creek @ Petford","Emu Creek @ Petford","Terapontidae","Leiopotherapon unicolor","species","lotic",144.9483333,-17.335,0.489848121502798,0.0240995309268173,0.79734798145359,0.0108075476886891,63.3333333333333,34.3333333333333,3,11,0.0349070786155064
"FWB_0036","FWB_0036_2008","Melanotaenia_Emu Creek @ Petford","Emu Creek @ Petford","Melanotaeniidae","Melanotaenia sp.","genus","lotic",144.9483333,-17.335,0.233093525179856,0.057956339964,0.647175216325566,0.0662543712947842,NA,NA,3,NA,0.124210711258784
"FWB_0036","FWB_0036_2008","Mogurnda_Emu Creek @ Petford","Emu Creek @ Petford","Eleotridae","Mogurnda sp.","genus","lotic",144.9483333,-17.335,0.41806554756195,0.0186160328332059,0.558961637281829,0.145257734935915,61.6666666666667,241.333333333333,3,30,0.163873767769121
"FWB_0036","FWB_0036_2008","Nematalosa erebi_Emu Creek @ Petford","Emu Creek @ Petford","Dorosomatidae","Nematalosa erebi","species","lotic",144.9483333,-17.335,0.336770583533173,0.0071975417268104,0.3655828238977,0.00640921197160127,96.3333333333333,522.333333333333,3,41,0.0136067536984117
"FWB_0036","FWB_0036_2008","Neosilurus hyrtlii_Emu Creek @ Petford","Emu Creek @ Petford","Plotosidae","Neosilurus hyrtlii","species","lotic",144.9483333,-17.335,0.482014388489209,0.0212664400853418,0.471958890759281,0.00464590949213004,NA,NA,2,NA,0.0259123495774718
"FWB_0036","FWB_0036_2008","Oxyeleotris lineolata_Emu Creek @ Petford","Emu Creek @ Petford","Butidae","Oxyeleotris lineolata","species","lotic",144.9483333,-17.335,0.566786570743405,0.000207747471087878,0.130902808540799,0.0342710905677383,48.5,144.5,2,17,0.0344788380388261
"FWB_0036","FWB_0036_2008","Strongylura krefftii_Emu Creek @ Petford","Emu Creek @ Petford","Belonidae","Strongylura krefftii","species","lotic",144.9483333,-17.335,0.915987210231815,0.00664862833953461,0.973627477038481,0.00103405092599879,NA,NA,3,NA,0.0076826792655334
"FWB_0036","FWB_0036_2008","Toxotes_Emu Creek @ Petford","Emu Creek @ Petford","Toxotidae","Toxotes sp.","genus","lotic",144.9483333,-17.335,0.371462829736211,0.00178372409985681,0.737367472903931,0.0016140203598215,NA,NA,3,NA,0.00339774445967831
"FWB_0044","FWB_0044_2011","Carassius auratus_Gidi Gidi","Gidi Gidi","Cyprinidae","Carassius auratus","species","lentic",150.047162,-28.403415,0.632911392405063,0.00395209682141305,0.480974264705882,0.00040005271410035,146.666666666667,408.333333333333,3,35,0.0043521495355134
"FWB_0044","FWB_0044_2011","Cyprinus carpio_Gidi Gidi","Gidi Gidi","Cyprinidae","Cyprinus carpio","species","lentic",150.047162,-28.403415,0.397123130034522,0.0275465350542594,0.813414522058823,0.0164876015822411,204.85,2384.55526315789,20,200,0.0440341366365005
"FWB_0044","FWB_0044_2011","Eleotridae_Gidi Gidi","Gidi Gidi","Eleotridae","Eleotridae sp.","family","lentic",150.047162,-28.403415,0.626623376623377,0.00829271736052825,0.317244944852941,0.0128208703848612,26,21.7142857142857,8,14,0.0211135877453895
"FWB_0044","FWB_0044_2011","Gambusia affinis_Gidi Gidi","Gidi Gidi","Poeciliidae","Gambusia affinis","species","lentic",150.047162,-28.403415,0.6401681501139,0.0472852397062964,0.497124474789916,0.00454870792526569,24.5714285714286,13.952380952381,7,10,0.051833947631562
"FWB_0044","FWB_0044_2011","Leiopotherapon unicolor_Gidi Gidi","Gidi Gidi","Terapontidae","Leiopotherapon unicolor","species","lentic",150.047162,-28.403415,0.931612691106362,3.45918936221423e-06,0.599172794117647,0.00249134948096886,157,1058,2,46,0.00249480867033108
