HYBAS_ID,Longitude,Latitude,Area_SqKm,DRP,TP,TN,NO3
3060568430,62.14342619,54.9957025,5122.5,19.9566473,162.7391092,767.1604678,187.1504297
3060591340,64.67690039,54.31341397,30549.2,7.63111468,22.7044742,124.8383798,203.2467973
3060591290,64.38836523,54.37925593,80595.1,18.74643178,82.08629173,478.3365008,199.0095561
3060496620,83.71160362,57.68939623,474840.8,1.038386822,2.511622527,86.43539147,96.50076148
3060496810,83.43511364,57.46390897,1637.3,17.42863774,25.82445745,282.9421444,282.5219588
3060470650,61.86233405,58.30305765,9961.7,24.51391899,112.3062457,1146.842813,374.7274658
3060470490,60.72094401,58.65099765,12821.4,41.36572253,111.7846128,1046.191775,750.0959573
3060495750,83.37508362,56.57271336,341761.3,41.56807489,81.96948602,1569.438648,1622.340868
3060495710,84.8195376,57.8439225,132951.8,21.32472854,117.9097494,853.7923686,994.215757
3060595110,64.78954758,53.7793733,28328.3,39.51192314,131.1258481,1411.360398,534.7007701
3060595100,64.26140205,54.01715288,1886.3,13.09996918,35.62619037,514.635961,126.8056214
3060593690,63.99810666,54.30553876,73135.7,1.366956307,3.648121365,40.35923263,14.54514855
3060593620,62.30121951,54.5008358,6695.6,20.88399953,98.11785691,1062.488088,347.9153075
3060594070,63.76140209,54.06520832,45380.9,11.82310604,91.85458175,583.9617318,217.2648245
3060593860,61.09971918,54.08209229,27739.5,77.26184849,334.1272246,2888.137458,339.4980254
3060528980,77.2077508,56.7401378,18626.3,40.00385475,224.7599596,1368.25015,890.6158808
3060529090,74.27972304,56.06558161,348660,49.33145184,139.4049899,1450.542411,1207.923619
3060439380,60.63180371,60.71731912,17682.5,87.12134861,140.7594545,1563.135504,517.8910444
3060439510,61.96247221,59.22398615,24200.6,30.56698598,189.294917,784.6239857,522.7103195
3060541400,72.48773326,56.28625007,19427.4,34.28456694,224.1630844,1175.749384,425.524503
3060541500,72.93888847,55.96795984,1444.9,22.39624457,48.47735921,396.2876806,189.7352338
3060603110,63.55853488,53.24331442,36932.2,32.92382745,114.8922797,555.5732,359.2555253
3060603100,62.78853584,53.51880926,7123.6,22.20068559,82.28314827,1006.043187,889.2772283
3060470540,85.85607087,58.42971681,58243.9,8.927181779,41.23158972,152.7976916,392.5678337
3060470400,85.23652828,59.39818111,7724.2,13.27040234,37.68252024,206.0850002,524.1152433
3060612610,64.36019814,53.24960849,2677.8,18.33133064,32.76227532,603.506601,500.9641551
3060612710,65.14779665,53.33086131,20041.4,17.3283423,63.81246532,376.1885937,237.9391052
3060479860,59.98938806,57.89725292,3904.8,14.35608562,41.43933608,267.7551673,132.0395506
3060479920,60.67349955,57.9814812,1792.7,12.59538663,20.44963144,185.4810919,155.9606373
3060523980,83.61005445,54.75264732,263060.2,101.5956531,301.1189341,3075.62861,578.5286426
3060523990,87.16619015,54.374989,61350.3,118.720598,176.9567572,1930.153348,30545.21161
3060619740,64.20883316,52.81762995,2688.2,22.57558077,38.52527704,783.2413891,525.8977693
3060619790,64.91450027,52.74746513,16091.3,16.21182328,104.1621433,1240.774917,194.4761423
3060495470,87.15616704,57.91835761,8975.5,20.55068105,89.35851049,629.2359396,476.031413
3060495620,86.40315935,57.36963401,119518.4,35.19125094,123.0606077,1176.295383,918.3688654
3060476360,75.45883319,58.00823233,4696.9,37.97034628,45.4801952,599.5197089,622.9631043
3060476520,76.40134881,58.31409834,12274.8,0.627157226,1.721576044,6.999354089,7.658323143
3060478090,77.28487017,57.68694885,5952,9.981322178,31.91882626,142.5047504,166.0958235
3060478410,76.28492751,57.68334896,6260.2,12.08223619,36.40605124,142.5047504,302.3286848
3060451380,60.0560591,59.22566935,7377.7,52.42654551,56.40588996,847.3127025,250.7951113
3060451260,60.19020009,59.92010892,12651.5,48.02116127,60.81216557,900.9912092,767.0269717
3060542090,71.41861626,56.20867266,3790.4,32.75834236,131.1261002,898.6896201,218.5494866
3060542250,71.88000488,55.82574756,11454.9,44.2397965,90.60491415,980.3361604,234.1822619
3060467660,87.55643478,58.79452629,44976.5,23.46643562,84.59947054,545.3752415,588.3733496
3060467530,86.44742206,59.41245778,9167.8,20.17565745,67.29246258,245.5398282,742.2486345
3060636230,64.4906161,51.86209892,8875.5,19.42361933,147.6754778,1723.388908,477.1993818
3060635970,64.01271821,52.29346257,2315,14.06796763,44.05183039,1030.682441,249.6607728
3060625860,61.32561257,52.92812109,13827.3,41.72056381,113.3390734,1384.943382,230.473214
3060626020,61.18585657,52.0546599,16353.3,25.71929074,117.5524159,1302.299628,219.8983059
3060556010,70.28697107,55.70096011,4990.2,36.84829907,67.84085182,1107.876734,366.3554754
3060556130,70.81522212,55.4082964,3334.6,34.449045,51.23545729,821.60501,308.2690051
3060560100,72.90204129,55.25068886,335217,44.396419,446.9130177,1451.843569,1037.740293
3060559880,72.55785621,55.53672291,6340.4,55.39008583,46.67654266,847.8393859,436.5257862
3060519830,86.47165379,56.82912111,93935.5,15.16337427,42.50942075,218.8402921,363.606628
3060519970,86.30600042,56.087991,11381.5,82.32832006,57.05379084,559.1134228,3596.544135
3060523060,88.18298486,56.27170118,32664.9,74.36167416,145.6743579,1496.74621,427.5984322
3060522920,88.7819643,57.28462687,60809.8,16.40079926,76.32521161,1127.568248,725.2608616
3060608870,66.87035945,53.15501875,99484.6,23.4000072,155.9464969,1435.838187,433.2751114
3060608990,67.84557418,53.19756146,4318.8,17.12130125,60.53951182,790.2559154,134.5993772
3060574950,73.2704483,55.02382841,315400.6,17.48237562,74.88298801,418.3487993,276.8409115
3060575080,70.03935457,54.55664475,16709.1,30.72630988,107.0410761,1311.552875,777.4413787
3060577100,75.03512867,55.44748834,63356.9,108.9949857,302.3386804,1378.100889,831.652889
3060577190,76.11187863,52.68922234,251832.2,82.27393381,145.5348645,2058.612958,1724.143585
3060471100,89.14865251,58.01487282,5907.4,11.47861041,31.14924915,165.428005,557.498275
3060471000,90.57984572,58.02222418,22243.3,22.23288225,67.64319486,1079.766884,441.8454324
3060628660,67.53698156,52.65860534,6605.3,26.17728217,63.32710871,1052.947622,172.0005102
3060628740,66.5058994,51.67183906,88343.8,41.0219593,229.4920772,2097.489394,834.6131086
3060612010,82.85809487,52.43667679,178048.6,115.0479378,236.7059861,1583.636771,340.0592689
3060611950,85.30464751,53.68654228,23852.6,106.2673755,167.0540811,1516.858367,281.2861849
3060559910,77.60316952,55.71468337,28710.1,35.99404409,228.2690934,1226.618332,345.2375465
3060559720,77.9850075,56.25645619,15622.1,67.18571502,195.6519149,1699.259461,506.0453087
3060562740,78.73662736,55.93349471,3609.3,35.62523986,44.31511043,1037.534906,361.1100494
3060562890,78.35752702,55.4665641,20468.5,45.35224262,192.511229,1026.112147,355.4343987
3060511240,91.65036559,56.58387117,10458.2,38.62450518,67.16352633,1028.056244,414.8202901
3060511230,89.96498795,55.49782634,41096.5,198.4704714,491.2113383,2710.616341,680.5563795
3060660640,67.69608718,51.67394758,50843.9,27.41569175,160.8545352,1844.370936,1211.940435
3060660730,67.73590936,50.54945626,19388.1,43.85862458,270.884519,1869.385556,697.3715081
3060637090,84.69705467,51.94285575,114265.9,320.8780683,693.4955748,3257.301904,530.7767116
3060637200,83.41176006,51.49863753,22410.2,69.09471618,331.8019356,2040.895953,460.8528877
3060557960,79.92257157,55.85506953,9862.4,24.9908464,210.9446199,1009.060151,231.1634347
3060558130,80.04834297,55.51952801,3142.3,25.7964808,103.3544643,479.0582227,193.9724106
3060651650,68.70796039,51.59492286,35666.2,22.35384844,151.0241362,1881.228659,740.5837387
3060651560,68.56279189,52.27785508,8750.9,29.07944962,78.76140005,948.5360216,197.4707704
